"character","category"
"Hanniball Lecter","Filmes"
"Harry Potter","Filmes"
"Harry Potter (Harry Potter)","Filmes"
"Hermione Granger (Harry Potter)","Filmes"
"Hermione Granger (Harry Potter)","Filmes"
"Indiana Jones","Filmes"
"Indiana Jones","Filmes"
"Jack Sparrow","Filmes"
"Jake Sully ""Tsyeyk te Suli"" (Avatar)","Filmes"
"James Bond","Filmes"
"James Bond","Filmes"
"Jason","Filmes"
"Jason Bourne","Filmes"
"Jason Bourne","Filmes"
"John Kramer “Jigsaw” (Saw Series)","Filmes"
"John McClane (Die Hard)","Filmes"
"Katniss Everdeen (The Hunger Games)","Filmes"
"Kevin McCallister (Home Alone)","Filmes"
"Legolas (Senhor dos Anéis)","Filmes"
"Leia Organa (Star Wars)","Filmes"
"Lord Voldemort (Harry Potter)","Filmes"
"Luke Skywalker (Star Wars)","Filmes"
"Maleficent (Maleficent)","Filmes"
"Marty McFly (Back to the Future)","Filmes"
"Maximus (Gladiator)","Filmes"
"Mia Wallace (Pulp Fiction)","Filmes"
"Michael Corleone (The Godfather)","Filmes"
"Neo (The Matrix Trilogy)","Filmes"
"Norman Bates (Psycho)","Filmes"
"Obi-Wan Kenobi (Star Wars)","Filmes"
"Optimus Prime (Transformers)","Filmes"
"Patrick Bateman (American Psycho)","Filmes"
"Patrick Bateman (American Psycho)","Filmes"
"Pennywise (It)","Filmes"
"Predator","Filmes"
"Rambo","Filmes"
"Regan, possessed (The Exorcist)","Filmes"
"Robin Hood","Filmes"
"Robocop","Filmes"
"Robocop","Filmes"
"Rocky Balboa","Filmes"
"Rocky Balboa","Filmes"
"Severus Snape (Harry Potter)","Filmes"
"Shark (Jaws)","Filmes"
"Sharpay Evans (High School Musical)","Filmes"
"Sherlock Holmes","Filmes"
"The Bride (Kill Bill)","Filmes"
"The Mask","Filmes"
"The Terminator (T-800)","Filmes"
"Tyler (Fight Club)","Filmes"
"Tyler Durden (Fight Club)","Filmes"
"V (V for Vendetta)","Filmes"
"V (V for Vendetta)","Filmes"
"Vincent Vega (Pulp Fiction)","Filmes"
"Vito Corleone (The Godfather)","Filmes"
"Voldemort (Harry Potter)","Filmes"
"Watson (Sherlock Holmes)","Filmes"
"Willy Wonka","Filmes"
"Willy Wonka (Charlie and the Chocolate Factory)","Filmes"
